iter	Passed	Remaining
330	788	1593
331	791	1591
332	793	1589
333	796	1587
334	802	1592
335	805	1590
336	807	1588
337	809	1585
338	811	1583
339	815	1582
340	817	1580
341	820	1577
342	822	1575
343	824	1572
344	826	1569
345	829	1567
346	831	1565
347	834	1562
348	836	1561
349	839	1558
350	841	1556
351	844	1554
352	847	1553
353	850	1551
354	852	1549
355	854	1546
356	857	1544
357	859	1542
358	863	1541
359	867	1542
360	870	1540
361	873	1538
362	875	1537
363	878	1535
364	881	1533
365	884	1532
366	888	1531
367	890	1529
368	892	1526
369	896	1525
370	898	1523
371	901	1521
372	904	1520
373	907	1518
374	910	1517
375	913	1516
376	915	1513
377	918	1511
378	920	1508
379	923	1506
380	926	1504
381	930	1504
382	933	1503
383	936	1501
384	938	1499
385	941	1497
386	944	1496
387	947	1494
388	950	1492
389	953	1490
390	955	1488
391	958	1486
392	961	1485
393	964	1483
394	967	1482
395	970	1479
396	973	1478
397	975	1475
398	979	1475
399	982	1473
400	984	1471
401	987	1469
402	990	1466
403	992	1464
404	995	1462
405	997	1459
406	999	1456
407	1002	1454
408	1004	1451
409	1007	1449
410	1010	1448
411	1013	1446
412	1015	1442
413	1018	1441
414	1021	1440
415	1024	1437
416	1027	1436
417	1030	1434
418	1032	1432
419	1035	1429
420	1037	1427
421	1040	1425
422	1043	1423
423	1045	1420
424	1048	1418
425	1050	1415
426	1053	1413
427	1055	1411
428	1059	1409
429	1061	1406
430	1063	1404
431	1066	1402
432	1068	1399
433	1071	1397
434	1074	1395
435	1076	1392
436	1079	1390
437	1081	1387
438	1083	1384
439	1086	1382
440	1089	1380
441	1092	1378
442	1094	1376
443	1097	1374
444	1099	1371
445	1102	1369
446	1104	1366
447	1107	1364
448	1110	1362
